First.Author,PYear,EYear,Location,Lontitude,Latitude,Country,Genotype,Cultivar,Nitrogen,Nmass,CO2,N,HD.SR,HD.MeanSR,HD.MaxT35,HD.MaxT26,HD.MaxT3,HD.MaxT5,HD.MeanT,HD.MinT,HD.MaxT,HD.RangeT,HD.MeanVPD,HD.PRE,PM.SR,PM.MeanSR,PM.MaxT35,PM.MaxT26,PM.MaxT3,PM.MaxT5,PM.MeanT,PM.MinT,PM.MaxT,PM.RangeT,PM.MeanVPD,PM.PRE
Liu HJ,2008,2005,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,LN,12.5,FACE,3,1261.4197,19.40645692,8,25,2,0,28.82723077,25.25938462,32.39507692,7.135692308,2.889230769,416.18,614.8711,14.29932791,0,1,0,0,24.64372093,21.67488372,27.61255814,5.937674419,2.513953488,199.39
Liu HJ,2008,2005,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,HN,25,AMB,3,1243.8337,19.43490156,8,24,2,0,28.81695313,25.24546875,32.3884375,7.14296875,2.8859375,411.88,656.4521,14.58782444,0,2,0,0,24.79811111,21.78155556,27.81466667,6.033111111,2.533333333,199.71
Liu HJ,2008,2005,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,HN,25,FACE,3,1261.4197,19.40645692,8,25,2,0,28.82723077,25.25938462,32.39507692,7.135692308,2.889230769,416.18,614.8711,14.29932791,0,1,0,0,24.64372093,21.67488372,27.61255814,5.937674419,2.513953488,199.39
Liu HJ,2008,2006,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,LN,12.5,AMB,3,1189.1161,18.57993906,3,28,1,0,28.48390625,25.26140625,31.70640625,6.445,3.0171875,409.09,723.4652,16.07700444,0,7,0,0,24.35388889,21.06866667,27.63911111,6.570444444,2.393333333,115.47
Liu HJ,2008,2006,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,LN,12.5,FACE,3,1208.6501,18.59461692,3,28,1,0,28.47307692,25.25615385,31.69,6.433846154,3.013846154,409.29,701.4544,16.31289302,0,6,0,0,24.27197674,20.93,27.61395349,6.683953488,2.379069767,108.78
Liu HJ,2008,2006,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,HN,25,AMB,3,1189.1161,18.57993906,3,28,1,0,28.48390625,25.26140625,31.70640625,6.445,3.0171875,409.09,723.4652,16.07700444,0,7,0,0,24.35388889,21.06866667,27.63911111,6.570444444,2.393333333,115.47
Liu HJ,2008,2006,Jiangdu,119.5,32.4,China,Hybrid indica,Shanyou63,HN,25,FACE,3,1208.6501,18.59461692,3,28,1,0,28.47307692,25.25615385,31.69,6.433846154,3.013846154,409.29,701.4544,16.31289302,0,6,0,0,24.27197674,20.93,27.61395349,6.683953488,2.379069767,108.78
Yang LX,2009,2005,Jiangdu,119.5,32.4,China,Hybrid indica,Liangyoupeijiu,HN,25,AMB,3,1419.9107,18.4403987,8,25,2,0,28.11324675,24.71506494,31.51142857,6.796363636,2.827272727,482.36,619.4527,13.76561556,0,0,0,0,23.27855556,20.14977778,26.40733333,6.257555556,2.317777778,152.92
Yang LX,2009,2005,Jiangdu,119.5,32.4,China,Hybrid indica,Liangyoupeijiu,HN,25,FACE,3,1419.9107,18.4403987,8,25,2,0,28.11324675,24.71506494,31.51142857,6.796363636,2.827272727,482.36,665.9417,13.87378542,0,0,0,0,22.9809375,19.801875,26.16,6.358125,2.270833333,153.01
Yang LX,2009,2005,Jiangdu,119.5,32.4,China,Hybrid indica,Liangyoupeijiu,LN,12.5,AMB,3,1409.8547,18.55071974,8,25,2,0,28.14,24.73736842,31.54263158,6.805263158,2.826315789,480.08,645.4627,13.73324894,0,0,0,0,23.24659574,20.09468085,26.39851064,6.303829787,2.317021277,154.89
Yang LX,2009,2005,Jiangdu,119.5,32.4,China,Hybrid indica,Liangyoupeijiu,LN,12.5,FACE,3,1397.6057,18.63474267,8,25,2,0,28.1764,24.7648,31.588,6.8232,2.828,478.13,650.2177,13.83441915,0,0,0,0,23.36351064,20.23276596,26.49425532,6.261489362,2.331914894,155.92
Liu HJ,2008,2006,Jiangdu,119.5,32.4,China,Indica,Yangdao6,LN,12.5,AMB,3,1357.8331,18.60045342,3,28,1,0,28.31547945,25.08,31.5509589,6.470958904,2.987671233,424.08,501.3072,15.66585,0,6,0,0,23.8646875,20.5815625,27.1478125,6.56625,2.33125,97.34
Liu HJ,2008,2006,Jiangdu,119.5,32.4,China,Indica,Yangdao6,LN,12.5,FACE,3,1357.8331,18.60045342,3,28,1,0,28.31547945,25.08,31.5509589,6.470958904,2.987671233,424.08,501.3072,15.66585,0,6,0,0,23.8646875,20.5815625,27.1478125,6.56625,2.33125,97.34
